model,data_path,log_path,lr,batch_size,epoch,factors,drop_ratio,num_layers,best_acc,best_acc_auc,best_auc,best_auc_acc,best_acc_epoch,test_acc_on_best_acc_model,test_auc_on_best_acc_model,tp_acc,fp_acc,tn_acc,fn_acc,precision_acc,recall_acc,specificity_acc,f1_acc,mcc_acc,test_acc_on_best_auc_model,test_auc_on_best_auc_model,tp_auc,fp_auc,tn_auc,fn_auc,precision_auc,recall_auc,specificity_auc,f1_auc,mcc_auc
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic4_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors36_lr0.002_bs3762_epoch2000_20250412-084223,0.002,3762,2000,36,0.1,2,0.8768041133880615,0.9216039382918416,0.9339111002971008,0.8768041133880615,1736,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic3_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors36_lr0.002_bs3762_epoch700_20250412-090634,0.002,3762,700,36,0.1,2,0.873251736164093,0.9243877310816472,0.92509698779895,0.8697552680969238,697,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors8_lr0.002_bs3762_epoch2000_20250414-082351,0.002,3762,2000,8,0.1,2,0.7917023301124573,0.619497000766324,0.6541698596834289,0.7882806062698364,59,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors8_lr0.004_bs3762_epoch750_20250415-080714,0.004,3762,750,8,0.1,2,0.7671451568603516,0.831838838788196,0.831838838788196,0.7671451568603516,744,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic4_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors8_lr0.004_bs3762_epoch200_20250415-081709,0.004,3762,200,8,0.1,2,0.7149484753608704,0.7693067436738039,0.7748811170303588,0.7123711109161377,158,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic4_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors8_lr0.004_bs3762_epoch500_20250415-081911,0.004,3762,500,8,0.1,2,0.7494845390319824,0.8154923505105351,0.8154923505105351,0.7494845390319824,496,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/local-smote.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors8_lr0.004_bs3762_epoch500_20250415-082240,0.004,3762,500,8,0.1,2,0.8295454382896423,0.839075907590759,0.8693069306930693,0.7670454382896423,460,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic3_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors36_lr0.0005_bs5000_epoch2000_20250426-025059,0.0005,5000,2000,36,0.1,2,0.8924825191497803,0.9468913461509064,0.9523728000048914,0.882867157459259,1439,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/36/mimic4_smote_36.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors36_lr0.0005_bs5000_epoch2000_20250426-024740,0.0005,5000,2000,36,0.1,2,0.8747422695159912,0.916583960830516,0.9260054895331762,0.857216477394104,1454,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Lstm,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/data/8/mimic3_eICU_smote_8.csv,/mnt/public/home/zhijiangwan/sepsisformer/sepsisformer/model2/logs/Lstm_Exp1_factors8_lr0.001_bs5000_epoch2000_20250426-043641,0.001,5000,2000,8,0.1,2,0.7841573357582092,0.8358596443229227,0.8389582026722275,0.7833598852157593,1984,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
