from,to,type,weight
1,2,1,4
1,4,1,4
1,6,1,4
1,7,1,4
1,12,1,4
1,13,1,4
1,16,1,4
1,17,1,4
1,18,1,4
1,21,1,4
1,23,1,4
1,24,1,4
1,25,1,4
1,31,1,4
1,33,1,4
2,3,1,4
2,6,1,4
2,7,1,4
2,8,1,4
2,10,1,4
2,12,1,4
2,13,1,4
2,15,1,4
2,16,1,4
2,17,1,4
2,18,1,4
2,19,1,4
2,21,1,4
2,22,1,4
2,23,1,4
2,24,1,4
2,26,1,4
2,28,1,4
2,29,1,4
2,33,1,4
2,34,1,4
2,36,1,4
3,4,1,4
3,6,1,4
3,9,1,4
3,16,1,4
3,18,1,4
3,19,1,4
3,23,1,4
3,24,1,4
3,26,1,4
3,30,1,4
3,32,1,4
4,6,1,4
4,7,1,4
4,8,1,4
4,12,1,4
4,13,1,4
4,14,1,4
4,15,1,4
4,16,1,4
4,17,1,4
4,18,1,4
4,21,1,4
4,22,1,4
4,23,1,4
4,25,1,4
4,26,1,4
4,28,1,4
4,30,1,4
4,36,1,4
5,6,1,4
5,7,1,4
5,12,1,4
5,13,1,4
5,15,1,4
5,16,1,4
5,17,1,4
5,19,1,4
5,27,1,4
5,28,1,4
5,30,1,4
6,7,1,4
6,8,1,4
6,10,1,4
6,11,1,4
6,12,1,4
6,15,1,4
6,18,1,4
6,25,1,4
6,27,1,4
6,29,1,4
6,30,1,4
6,32,1,4
6,33,1,4
6,35,1,4
6,36,1,4
7,8,1,4
7,17,1,4
7,18,1,4
7,19,1,4
7,21,1,4
7,22,1,4
7,24,1,4
7,27,1,4
7,29,1,4
7,30,1,4
7,31,1,4
7,32,1,4
7,33,1,4
7,34,1,4
7,36,1,4
8,9,1,4
8,10,1,4
8,16,1,4
8,18,1,4
8,19,1,4
8,21,1,4
8,22,1,4
8,27,1,4
8,28,1,4
8,29,1,4
8,32,1,4
8,35,1,4
8,36,1,4
9,10,1,4
9,12,1,4
9,13,1,4
9,14,1,4
9,15,1,4
9,16,1,4
9,17,1,4
9,18,1,4
9,19,1,4
9,26,1,4
9,27,1,4
9,28,1,4
9,29,1,4
9,30,1,4
9,31,1,4
9,32,1,4
9,35,1,4
10,13,1,4
10,14,1,4
10,17,1,4
10,19,1,4
10,21,1,4
10,22,1,4
10,23,1,4
10,24,1,4
10,26,1,4
10,27,1,4
10,28,1,4
10,31,1,4
10,32,1,4
10,33,1,4
10,34,1,4
11,13,1,4
11,15,1,4
11,17,1,4
11,22,1,4
11,24,1,4
11,25,1,4
11,27,1,4
11,33,1,4
11,34,1,4
12,16,1,4
12,17,1,4
12,18,1,4
12,24,1,4
12,26,1,4
12,29,1,4
12,32,1,4
12,36,1,4
13,18,1,4
13,20,1,4
13,23,1,4
13,26,1,4
13,27,1,4
13,28,1,4
13,29,1,4
13,30,1,4
13,31,1,4
13,32,1,4
13,35,1,4
14,16,1,4
14,19,1,4
14,20,1,4
14,22,1,4
14,23,1,4
14,25,1,4
14,26,1,4
14,28,1,4
14,29,1,4
14,30,1,4
14,32,1,4
14,33,1,4
14,34,1,4
14,36,1,4
15,17,1,4
15,19,1,4
15,20,1,4
15,21,1,4
15,22,1,4
15,24,1,4
15,25,1,4
15,30,1,4
15,32,1,4
15,33,1,4
15,35,1,4
16,21,1,4
16,26,1,4
16,27,1,4
16,30,1,4
16,31,1,4
16,32,1,4
16,36,1,4
17,25,1,4
17,28,1,4
17,29,1,4
17,30,1,4
17,32,1,4
17,33,1,4
17,34,1,4
17,35,1,4
17,36,1,4
18,21,1,4
18,22,1,4
18,26,1,4
18,27,1,4
18,29,1,4
18,30,1,4
18,31,1,4
18,32,1,4
18,34,1,4
18,36,1,4
19,21,1,4
19,26,1,4
19,32,1,4
19,34,1,4
20,23,1,4
20,25,1,4
20,34,1,4
20,36,1,4
21,23,1,4
21,24,1,4
21,29,1,4
21,31,1,4
21,32,1,4
21,33,1,4
21,35,1,4
21,36,1,4
22,23,1,4
22,24,1,4
22,28,1,4
22,29,1,4
22,31,1,4
22,32,1,4
22,33,1,4
22,35,1,4
22,36,1,4
23,26,1,4
23,28,1,4
23,29,1,4
23,35,1,4
23,36,1,4
24,26,1,4
24,27,1,4
24,28,1,4
24,29,1,4
24,34,1,4
24,35,1,4
24,36,1,4
25,26,1,4
25,28,1,4
25,29,1,4
25,30,1,4
25,31,1,4
25,32,1,4
25,33,1,4
25,34,1,4
26,29,1,4
26,31,1,4
26,34,1,4
26,35,1,4
26,36,1,4
27,29,1,4
27,32,1,4
27,33,1,4
27,35,1,4
27,36,1,4
28,31,1,4
28,32,1,4
28,33,1,4
28,35,1,4
29,30,1,4
29,33,1,4
29,34,1,4
30,32,1,4
30,35,1,4
30,36,1,4
31,34,1,4
31,35,1,4
32,33,1,4
32,34,1,4
32,35,1,4
32,36,1,4
33,35,1,4
33,36,1,4
34,35,1,4
