from,to,type,weight
1,8,1,4
1,10,1,4
1,11,1,4
1,15,1,4
1,22,1,4
1,26,1,4
1,28,1,4
1,30,1,4
1,35,1,4
2,4,1,4
2,5,1,4
2,32,1,4
3,5,1,4
3,7,1,4
3,8,1,4
3,10,1,4
3,11,1,4
3,13,1,4
3,14,1,4
3,21,1,4
3,22,1,4
3,25,1,4
3,27,1,4
3,28,1,4
3,29,1,4
3,35,1,4
4,5,1,4
4,9,1,4
4,24,1,4
4,29,1,4
5,8,1,4
5,10,1,4
5,11,1,4
5,14,1,4
5,23,1,4
5,24,1,4
5,25,1,4
5,35,1,4
7,10,1,4
7,11,1,4
7,13,1,4
7,14,1,4
7,25,1,4
7,35,1,4
8,12,1,4
8,13,1,4
8,14,1,4
8,15,1,4
8,25,1,4
8,33,1,4
8,34,1,4
9,36,1,4
10,25,1,4
10,29,1,4
11,26,1,4
11,28,1,4
11,29,1,4
11,31,1,4
11,32,1,4
12,14,1,4
12,27,1,4
12,33,1,4
12,34,1,4
13,16,1,4
13,21,1,4
13,22,1,4
13,34,1,4
13,36,1,4
14,15,1,4
14,21,1,4
14,27,1,4
15,16,1,4
15,18,1,4
15,26,1,4
15,27,1,4
15,28,1,4
15,34,1,4
16,17,1,4
16,28,1,4
16,34,1,4
17,18,1,4
18,28,1,4
19,20,1,4
19,22,1,4
19,23,1,4
19,24,1,4
19,25,1,4
20,21,1,4
21,25,1,4
21,27,1,4
22,25,1,4
22,27,1,4
23,24,1,4
25,35,1,4
26,27,1,4
26,30,1,4
26,32,1,4
27,28,1,4
27,30,1,4
27,34,1,4
28,30,1,4
29,32,1,4
29,35,1,4
30,31,1,4
30,33,1,4
30,34,1,4
